Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Adenocarcinoma of lung (disorder)	C0152013	DPP4	1803	P27487	dipeptidyl peptidase 4	Enzyme	451	0.42	0.808	7.2797e-09	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	AGT	183	P01019	angiotensinogen	Enzyme modulator	765	0.367	0.923	4.9706e-08	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	DSG3	1830	P32926	desmoglein 3	Cell adhesion	78	0.603	0.654	1.4584e-20	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	AGTR1	185	P30556	angiotensin II receptor type 1	G-protein coupled receptor	440	0.423	0.846	0.00053161	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	E2F4	1874	Q16254	E2F transcription factor 4	Nucleic acid binding	76	0.599	0.692	0.45258	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	ABCA1	19	O95477	ATP binding cassette subfamily A member 1	Transporter	291	0.467	0.846	1.4525e-13	0.01		1.0	1	0	2020.0	2020.0
Adenocarcinoma of lung (disorder)	C0152013	LPAR1	1902	Q92633	lysophosphatidic acid receptor 1	G-protein coupled receptor	145	0.534	0.808	0.18603	0.01		1.0	1	0	2010.0	2010.0
Adenocarcinoma of lung (disorder)	C0152013	S1PR3	1903	Q99500	sphingosine-1-phosphate receptor 3	G-protein coupled receptor	47	0.638	0.654	0.046945	0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	EDN3	1908	P14138	endothelin 3	Signaling	107	0.608	0.577	0.024568	0.01		1.0	1	0	2015.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	EDNRA	1909	P25101	endothelin receptor type A	G-protein coupled receptor	427	0.426	0.885	0.99158	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	EDNRB	1910	P24530	endothelin receptor type B	G-protein coupled receptor	300	0.47	0.846	0.0092419	0.01		1.0	1	0	2012.0	2012.0
Adenocarcinoma of lung (disorder)	C0152013	EEF1A2	1917	Q05639	eukaryotic translation elongation factor 1 alpha 2	Enzyme	166	0.554	0.808	0.99558	0.01		1.0	1	0	2006.0	2006.0
Adenocarcinoma of lung (disorder)	C0152013	EFNA1	1942	P20827	ephrin A1	Kinase	69	0.61	0.5	0.46263	0.01		1.0	1	0	2012.0	2012.0
Adenocarcinoma of lung (disorder)	C0152013	EFNB2	1948	P52799	ephrin B2	Signaling	109	0.561	0.692	0.98845	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	MEGF8	1954	Q7Z7M0	multiple EGF like domains 8	Enzyme modulator	89	0.584	0.538	1.9329e-05	0.01		1.0	1	0	2004.0	2004.0
Adenocarcinoma of lung (disorder)	C0152013	PLPP4	196051	Q5VZY2	phospholipid phosphatase 4	Enzyme	8	0.805	0.231	0.0001828	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	EPHA2	1969	P29317	EPH receptor A2	Kinase	187	0.501	0.731	1.073e-05	0.01		1.0	1	0	2009.0	2009.0
Adenocarcinoma of lung (disorder)	C0152013	EIF4EBP1	1978	Q13541	eukaryotic translation initiation factor 4E binding protein 1	Nucleic acid binding	201	0.494	0.885	0.20762	0.01		1.0	1	0	2010.0	2010.0
Adenocarcinoma of lung (disorder)	C0152013	EIF4G2	1982	P78344	eukaryotic translation initiation factor 4 gamma 2	Nucleic acid binding	75	0.593	0.692	1.0	0.01		1.0	1	0	2015.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	EIF5	1983	P55010	eukaryotic translation initiation factor 5	Nucleic acid binding	19	0.716	0.308	0.98758	0.01		1.0	1	0	2003.0	2003.0
Adenocarcinoma of lung (disorder)	C0152013	EIF5A	1984	P63241	eukaryotic translation initiation factor 5A	Nucleic acid binding	68	0.612	0.692	0.73709	0.01		1.0	1	0	2003.0	2003.0
Adenocarcinoma of lung (disorder)	C0152013	ELANE	1991	P08246	elastase, neutrophil expressed	Enzyme	346	0.447	0.846	0.0012274	0.01		1.0	1	0	2012.0	2012.0
Adenocarcinoma of lung (disorder)	C0152013	TTC21A	199223	Q8NDW8	tetratricopeptide repeat domain 21A		7	0.89	0.077	2.8878e-24	0.01		1.0	1	0	2020.0	2020.0
Adenocarcinoma of lung (disorder)	C0152013	LINC00466	199899		long intergenic non-protein coding RNA 466		5	0.861	0.077		0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	ELK1	2002	P19419	ETS transcription factor ELK1	Transcription factor	114	0.537	0.692	0.93711	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	GKN2	200504	Q86XP6	gastrokine 2		19	0.769	0.269	0.00023223	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	LIPH	200879	Q8WWY8	lipase H	Enzyme	36	0.691	0.346	6.5309e-11	0.01		1.0	1	0	2014.0	2014.0
Adenocarcinoma of lung (disorder)	C0152013	EMD	2010	P50402	emerin		163	0.542	0.731	0.93178	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	SAMD14	201191	Q8IZD0	sterile alpha motif domain containing 14		11	0.805	0.192	0.00073677	0.01		0.0	1	0	2008.0	2008.0
Adenocarcinoma of lung (disorder)	C0152013	RDM1	201299	Q8NG50	RAD52 motif containing 1		16	0.743	0.231	1.5827e-08	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	CTTN	2017	Q14247	cortactin	Cellular structure	124	0.546	0.769	0.089176	0.01		1.0	1	0	2011.0	2011.0
Adenocarcinoma of lung (disorder)	C0152013	EMX2	2018	Q04743	empty spiracles homeobox 2	Transcription factor	59	0.623	0.577	0.9507	0.01		1.0	1	0	2011.0	2011.0
Adenocarcinoma of lung (disorder)	C0152013	KHDRBS2	202559	Q5VWX1	KH RNA binding domain containing, signal transduction associated 2	Nucleic acid binding	7	0.861	0.154	0.038537	0.01		1.0	1	0	2010.0	2010.0
Adenocarcinoma of lung (disorder)	C0152013	AK1	203	P00568	adenylate kinase 1	Kinase	20	0.711	0.5	0.027319	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	TUBB	203068	P07437	tubulin beta class I	Cellular structure	96	0.603	0.692	0.97889	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	PRSS55	203074	Q6UWB4	serine protease 55	Enzyme	163	0.513	0.769	3.1731e-11	0.01		1.0	1	0	2009.0	2009.0
Adenocarcinoma of lung (disorder)	C0152013	VMA21	203547	Q3ZAQ7	vacuolar ATPase assembly factor VMA21		17	0.821	0.231	0.57236	0.01		1.0	1	0	2020.0	2020.0
Adenocarcinoma of lung (disorder)	C0152013	AK2	204	P54819	adenylate kinase 2	Kinase	54	0.678	0.423	6.2706e-05	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	EPHA1	2041	P21709	EPH receptor A1	Kinase	119	0.544	0.731	1.4624e-23	0.01		1.0	1	0	2012.0	2012.0
Adenocarcinoma of lung (disorder)	C0152013	EPHA4	2043	P54764	EPH receptor A4	Kinase	118	0.566	0.846	1.0	0.01		1.0	1	0	2012.0	2012.0
Adenocarcinoma of lung (disorder)	C0152013	EPOR	2057	P19235	erythropoietin receptor	Receptor	162	0.526	0.692	0.0101	0.01		1.0	1	0	2013.0	2013.0
Adenocarcinoma of lung (disorder)	C0152013	NR2F6	2063	P10588	nuclear receptor subfamily 2 group F member 6	Nuclear receptor	35	0.682	0.346	0.45111	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	EREG	2069	O14944	epiregulin	Signaling	121	0.554	0.692	1.1659e-05	0.01		1.0	1	0	2013.0	2013.0
Adenocarcinoma of lung (disorder)	C0152013	EYA4	2070	O95677	EYA transcriptional coactivator and phosphatase 4		82	0.604	0.615	0.04872	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	SFTA1P	207107		surfactant associated 1, lncRNA		10	0.839	0.115		0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	ABCA3	21	Q99758	ATP binding cassette subfamily A member 3	Transporter	84	0.592	0.615	6.6226e-08	0.01		1.0	1	0	2007.0	2007.0
Adenocarcinoma of lung (disorder)	C0152013	ESRRA	2101	P11474	estrogen related receptor alpha	Nuclear receptor	112	0.548	0.654	0.59696	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	ETS1	2113	P14921	ETS proto-oncogene 1, transcription factor	Transcription factor	327	0.444	0.731	0.7816	0.01		1.0	1	0	2015.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	ETS2	2114	P15036	ETS proto-oncogene 2, transcription factor	Transcription factor	115	0.548	0.808	0.99888	0.01		1.0	1	0	2013.0	2013.0
Adenocarcinoma of lung (disorder)	C0152013	ETV4	2118	P43268	ETS variant transcription factor 4	Transcription factor	120	0.545	0.5	2.8688e-08	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	ETV5	2119	P41161	ETS variant transcription factor 5	Transcription factor	121	0.565	0.731	0.99999	0.01		1.0	1	0	2000.0	2000.0
Adenocarcinoma of lung (disorder)	C0152013	F3	2152	P13726	coagulation factor III, tissue factor	Receptor	456	0.415	0.846	0.018872	0.01		1.0	1	0	2011.0	2011.0
Adenocarcinoma of lung (disorder)	C0152013	FAAH	2166	O00519	fatty acid amide hydrolase		177	0.545	0.692	4.4449e-11	0.01		1.0	1	0	2014.0	2014.0
Adenocarcinoma of lung (disorder)	C0152013	FABP4	2167	P15090	fatty acid binding protein 4		194	0.5	0.808	5.1764e-05	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	ALDH2	217	P05091	aldehyde dehydrogenase 2 family member	Enzyme	337	0.457	0.885	3.3959e-10	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	FANCC	2176	Q00597	FA complementation group C		218	0.507	0.808	2.7921e-13	0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	MED19	219541	A0JLT2	mediator complex subunit 19		50	0.628	0.615	0.78193	0.01		1.0	1	0	2012.0	2012.0
Adenocarcinoma of lung (disorder)	C0152013	ENKUR	219670	Q8TC29	enkurin, TRPC channel interacting protein		13	0.805	0.269	7.0721e-05	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	FBLN2	2199	P98095	fibulin 2	Extracellular structure	39	0.682	0.615	7.0135e-06	0.01		1.0	1	0	2013.0	2013.0
Adenocarcinoma of lung (disorder)	C0152013	ALDH1A3	220	P47895	aldehyde dehydrogenase 1 family member A3	Enzyme	83	0.578	0.654	0.14128	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	FCER1G	2207	P30273	Fc fragment of IgE receptor Ig		35	0.674	0.615	0.66327	0.01		0.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	ALKBH3	221120	Q96Q83	alkB homolog 3, alpha-ketoglutaratedependent dioxygenase		39	0.67	0.462	2.7442e-12	0.01		1.0	1	0	2011.0	2011.0
Adenocarcinoma of lung (disorder)	C0152013	HOXA11-AS	221883		HOXA11 antisense RNA		60	0.61	0.423		0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	FAM83B	222584	Q5T0W9	family with sequence similarity 83 member B		26	0.722	0.346	6.3264e-08	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	FER	2241	P16591	FER tyrosine kinase	Kinase	64	0.628	0.615	0.6633	0.01		1.0	1	0	2013.0	2013.0
Adenocarcinoma of lung (disorder)	C0152013	FGA	2243	P02671	fibrinogen alpha chain		118	0.573	0.769	1.2236e-13	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	FGF4	2249	P08620	fibroblast growth factor 4	Signaling	86	0.588	0.577	0.1406	0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	FGL1	2267	Q08830	fibrinogen like 1	Signaling	53	0.638	0.692	1.6765e-25	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	FHIT	2272	P49789	fragile histidine triad diadenosine triphosphatase		337	0.444	0.846	0.0057055	0.01		1.0	1	0	1998.0	1998.0
Adenocarcinoma of lung (disorder)	C0152013	FHL1	2273	Q13642	four and a half LIM domains 1		195	0.532	0.731	0.96979	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	ITGA11	22801	Q9UKX5	integrin subunit alpha 11		34	0.678	0.5	8.661e-08	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	VASH1	22846	Q7L8A9	vasohibin 1		69	0.601	0.423	0.32566	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	NLRP1	22861	Q9C000	NLR family pyrin domain containing 1		200	0.502	0.769	4.9693e-19	0.01		1.0	1	0	2005.0	2005.0
Adenocarcinoma of lung (disorder)	C0152013	SEC31A	22872	O94979	SEC31 homolog A, COPII coat complex component	Transporter	14	0.76	0.269	7.8773e-05	0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	ZHX2	22882	Q9Y6X8	zinc fingers and homeoboxes 2	Transcription factor	172	0.51	0.654	0.03372	0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	CLSTN1	22883	O94985	calsyntenin 1	Calcium-binding protein	16	0.729	0.462	0.97757	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	RUFY3	22902	Q7L099	RUN and FYVE domain containing 3		23	0.736	0.231	0.020593	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	MMRN1	22915	Q13201	multimerin 1		272	0.465	0.846	2.0714e-25	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	ATF6	22926	P18850	activating transcription factor 6		179	0.516	0.846	3.2333e-07	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	SEPHS2	22928	Q99611	selenophosphate synthetase 2	Enzyme	6	0.839	0.077	0.0022195	0.01		1.0	1	0	2004.0	2004.0
Adenocarcinoma of lung (disorder)	C0152013	RAB3GAP1	22930	Q15042	RAB3 GTPase activating protein catalytic subunit 1		138	0.566	0.692	1.4523e-07	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	FOXC1	2296	Q12948	forkhead box C1	Transcription factor	242	0.483	0.846	0.95337	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	ACIN1	22985	Q9UKV3	apoptotic chromatin condensation inducer 1		19	0.751	0.308	1.0	0.01		1.0	1	0	2006.0	2006.0
Adenocarcinoma of lung (disorder)	C0152013	FAIM2	23017	Q9BWQ8	Fas apoptotic inhibitory molecule 2		48	0.663	0.5	8.7012e-05	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	KDM4B	23030	O94953	lysine demethylase 4B	Epigenetic regulator	71	0.606	0.462	1.0	0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	PHLPP2	23035	Q6ZVD8	PH domain and leucine rich repeat protein phosphatase 2		45	0.641	0.346	1.2128e-06	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	WDTC1	23038	Q8N5D0	WD and tetratricopeptide repeats 1	Enzyme modulator	28	0.691	0.5	0.99915	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	GGA2	23062	Q9UJY4	golgi associated, gamma adaptin ear containing, ARF binding protein 2		7	0.861	0.154	1.2573e-07	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	SETX	23064	Q7Z333	senataxin	Enzyme	133	0.57	0.731	0.95483	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	ERP44	23071	Q9BS26	endoplasmic reticulum protein 44		15	0.736	0.346	0.99106	0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	FOXO1	2308	Q12778	forkhead box O1		380	0.433	0.846	0.99725	0.01		1.0	1	0	2012.0	2012.0
Adenocarcinoma of lung (disorder)	C0152013	SIPA1L3	23094	O60292	signal induced proliferation associated 1 like 3	Enzyme modulator	18	0.76	0.269	1.0	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	FLNA	2316	P21333	filamin A		571	0.419	0.846	1.0	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	LPIN1	23175	Q14693	lipin 1		86	0.601	0.692	6.4522e-13	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	DIP2A	23181	Q14689	disco interacting protein 2 homolog A		18	0.76	0.231	0.11301	0.01		1.0	1	0	2015.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	FBXL7	23194	Q9UJT9	F-box and leucine rich repeat protein 7		15	0.769	0.346	0.31497	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	SULF1	23213	Q8IWU6	sulfatase 1	Enzyme	83	0.585	0.538	0.0013751	0.01		1.0	1	0	2011.0	2011.0
Adenocarcinoma of lung (disorder)	C0152013	FLT3	2322	P36888	fms related receptor tyrosine kinase 3	Kinase	270	0.462	0.654	0.60777	0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	NUP210	23225	Q8TEM1	nucleoporin 210	Transporter	14	0.76	0.308	1.0967e-22	0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	PHLPP1	23239	O60346	PH domain and leucine rich repeat protein phosphatase 1	Epigenetic regulator	73	0.597	0.654	0.99927	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	OTUD3	23252	Q5T2D3	OTU deubiquitinase 3	Enzyme	13	0.76	0.231	3.5645e-05	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	WWC1	23286	Q8IX03	WW and C2 domain containing 1		71	0.61	0.692	0.00039438	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	FBXW11	23291	Q9UKB1	F-box and WD repeat domain containing 11		56	0.626	0.462	0.97611	0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	ATMIN	23300	O43313	ATM interactor		17	0.751	0.346	5.031e-05	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	SUN1	23353	O94901	Sad1 and UNC84 domain containing 1	Cellular structure	26	0.729	0.423	9.1868e-06	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	ZNF629	23361	Q9UEG4	zinc finger protein 629	Transcription factor	34	0.691	0.5	0.99978	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	UFL1	23376	O94874	UFM1 specific ligase 1		15	0.78	0.269	1.1708e-12	0.01		1.0	1	0	2013.0	2013.0
Adenocarcinoma of lung (disorder)	C0152013	DICER1	23405	Q9UPY3	dicer 1, ribonuclease III	Enzyme	302	0.446	0.846	1.0	0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	SIRT3	23410	Q9NTG7	sirtuin 3	Epigenetic regulator	227	0.488	0.731	0.00016261	0.01		1.0	1	0	2013.0	2013.0
Adenocarcinoma of lung (disorder)	C0152013	SLC44A1	23446	Q8WWI5	solute carrier family 44 member 1	Transporter	26	0.695	0.346	0.99676	0.01		1.0	1	0	2007.0	2007.0
Adenocarcinoma of lung (disorder)	C0152013	FOLH1	2346	Q04609	folate hydrolase 1	Enzyme	311	0.453	0.885	6.1977e-09	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	CLCF1	23529	Q9UBD9	cardiotrophin like cytokine factor 1		54	0.67	0.462	0.94791	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	FOS	2353	P01100	Fos proto-oncogene, AP-1 transcription factor subunit	Transcription factor	528	0.411	0.885	0.26176	0.01		1.0	1	0	2005.0	2005.0
Adenocarcinoma of lung (disorder)	C0152013	FOSB	2354	P53539	FosB proto-oncogene, AP-1 transcription factor subunit	Transcription factor	278	0.463	0.846	0.97553	0.01		1.0	1	0	2005.0	2005.0
Adenocarcinoma of lung (disorder)	C0152013	FPGS	2356	Q05932	folylpolyglutamate synthase	Enzyme	40	0.644	0.423	1.1579e-06	0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	DDAH1	23576	O94760	dimethylarginine dimethylaminohydrolase 1	Enzyme	73	0.604	0.615	0.0027974	0.01		1.0	1	0	2020.0	2020.0
Adenocarcinoma of lung (disorder)	C0152013	OPN3	23596	Q9H1Y3	opsin 3	G-protein coupled receptor	15	0.769	0.231	0.0012801	0.01		1.0	1	0	2020.0	2020.0
Adenocarcinoma of lung (disorder)	C0152013	CBLC	23624	Q9ULV8	Cbl proto-oncogene C	Enzyme	15	0.821	0.192	4.2394e-11	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	LDOC1	23641	O95751	LDOC1 regulator of NFKB signaling		36	0.678	0.385	0.52431	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	SNHG1	23642		small nucleolar RNA host gene 1		83	0.576	0.692		0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	SH3BP4	23677	Q9P0V3	SH3 domain binding protein 4		74	0.593	0.692	0.0025338	0.01		1.0	1	0	2014.0	2014.0
Adenocarcinoma of lung (disorder)	C0152013	ALOX5AP	241	P20292	arachidonate 5-lipoxygenase activating protein	Enzyme	76	0.612	0.731	0.070729	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	KIF4A	24137	O95239	kinesin family member 4A	Cellular structure	50	0.647	0.462	0.99998	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	CLDN15	24146	P56746	claudin 15	Cell-cell junction	15	0.769	0.269	0.023349	0.01		1.0	1	0	2015.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	FRA16D	2463		fragile site, aphidicolin type, common, fra(16)(q23.2)		42	0.656	0.577		0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	ALOX15B	247	O15296	arachidonate 15-lipoxygenase type B	Enzyme	42	0.663	0.462	1.4819e-18	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	FRZB	2487	Q92765	frizzled related protein		89	0.573	0.654	0.0010842	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	FUS	2521	P35637	FUS RNA binding protein	Nucleic acid binding	301	0.47	0.846	0.9993	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	FUT1	2523	P19526	fucosyltransferase 1 (H blood group)	Enzyme	136	0.541	0.692	0.00054555	0.01		1.0	1	0	1993.0	1993.0
Adenocarcinoma of lung (disorder)	C0152013	FUT3	2525	P21217	fucosyltransferase 3 (Lewis blood group)	Enzyme	74	0.606	0.615	6.2991e-05	0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	RICTOR	253260	Q6R327	RPTOR independent companion of MTOR complex 2		82	0.592	0.615	1.0	0.01		1.0	1	0	2015.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	G6PD	2539	P11413	glucose-6-phosphate dehydrogenase	Enzyme	410	0.424	0.846	0.97158	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	CASC2	255082		cancer susceptibility 2		64	0.612	0.462		0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	GABRA3	2556	P34903	gamma-aminobutyric acid type A receptor subunit alpha3	Ion channel	81	0.636	0.577	0.038786	0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	PCSK9	255738	Q8NBP7	proprotein convertase subtilisin/kexin type 9	Enzyme	257	0.482	0.808	2.7059e-17	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	GK5	256356	Q6ZS86	glycerol kinase 5	Kinase	15	0.743	0.192	0.0063366	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	GAD1	2571	Q99259	glutamate decarboxylase 1	Enzyme	245	0.486	0.885	0.046164	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	SPDEF	25803	O95238	SAM pointed domain containing ETS transcription factor	Transcription factor	66	0.623	0.615	0.97178	0.01		1.0	1	0	2010.0	2010.0
Adenocarcinoma of lung (disorder)	C0152013	KLK5	25818	Q9Y337	kallikrein related peptidase 5	Enzyme	59	0.623	0.462	0.0070149	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	ARIH1	25820	Q9Y4X5	ariadne RBR E3 ubiquitin protein ligase 1	Enzyme	53	0.644	0.692	0.99997	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	MTO1	25821	Q9Y2Z2	mitochondrial tRNA translation optimization 1		48	0.67	0.462	7.38e-06	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	ASF1A	25842	Q9Y294	anti-silencing function 1A histone chaperone	Nucleic acid binding	36	0.67	0.615	0.80542	0.01		1.0	1	0	2020.0	2020.0
Adenocarcinoma of lung (disorder)	C0152013	ARMC8	25852	Q8IUR7	armadillo repeat containing 8		22	0.716	0.346	0.99999	0.01		1.0	1	0	2015.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	TRIM58	25893	Q8NG06	tripartite motif containing 58		28	0.769	0.115	1.345e-10	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	GALNT3	2591	Q14435	polypeptide N-acetylgalactosaminyltransferase 3	Enzyme	80	0.603	0.769	7.4143e-09	0.01		1.0	1	0	2004.0	2004.0
Adenocarcinoma of lung (disorder)	C0152013	CLIC4	25932	Q9Y696	chloride intracellular channel 4	Ion channel	58	0.628	0.423	0.0010866	0.01		1.0	1	0	2014.0	2014.0
Adenocarcinoma of lung (disorder)	C0152013	SAMHD1	25939	Q9Y3Z3	SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1		169	0.547	0.769	6.4524e-13	0.01		1.0	1	0	2014.0	2014.0
Adenocarcinoma of lung (disorder)	C0152013	NECTIN3	25945	Q9NQS3	nectin cell adhesion molecule 3		23	0.729	0.5	0.91574	0.01		1.0	1	0	2019.0	2019.0
